rank,title,author,publisher,date,price,original_price,discount,comments,recommendation,url
1,女生会学习 世界都让路 专供印签版 附赠学习手册 创意明信片 试听课和资料包,致91岁的双胞胎（王徐心怡 王徐心悦） 著，磨铁文化 出品,国际文化出版公司,2025-10-01,39.8,59.8,6.7折,33291,100%推荐,http://product.dangdang.com/29954938.html
2,脑筋急转弯999问 6-12岁儿童益智动脑游戏书 越玩越聪明,崔钟雷,吉林美术出版社,,19.9,49.8,4.0折,11232,100%推荐,http://product.dangdang.com/29975866.html
3,小刺猬阿奈家的24小时,[法]  曾荷丽,浙江教育出版社,2024-05-31,30.4,76.0,4.0折,80609,100%推荐,http://product.dangdang.com/29743915.html
4,读读童谣和儿歌（一至四册） 升级版 一年级下册 人民教育出版社,人民教育出版社,人民教育出版社,2025-01-01,27.8,42.8,6.5折,24995,100%推荐,http://product.dangdang.com/29839829.html
5,被讨厌的勇气,"岸��一郎, 古�R史健",机械工业出版社,2020-03-05,52.3,55.0,9.5折,1819530,100%推荐,http://product.dangdang.com/28518072.html
6,钢铁是怎样炼成的 原著正版七年级下阅读 推荐名著初中语文配套课外阅读语文同步教材 赠学习资料和音频,,黑龙江美术出版社,,15.9,39.8,4.0折,164,100%推荐,http://product.dangdang.com/29971101.html
7,骆驼祥子原著正版七年级下阅读 推荐名著初中语文配套课外阅读语文同步教材 赠学习资料和音频,,哈尔滨出版社,,15.9,39.8,4.0折,121,100%推荐,http://product.dangdang.com/29971094.html
8,见春天（新增番外《见答案》！总收藏量超35万、点击量破千万！晋江人气作者 纵虎嗅花 催泪之作！）,纵虎嗅花 著,北京联合出版有限公司,2023-01-01,42.3,49.8,8.5折,194898,100%推荐,http://product.dangdang.com/29498859.html
9,我从未如此眷恋人间：周深“终于开始学会眷恋这人间”史铁生、季羡林、余光中、丰子恺等联手献作，把深情写入文字，告诉你这世间原来是它们最惹人恋。,史铁生 汪曾祺 等 著，文通天下 出品,读者出版社,2022-02-01,22.4,49.8,4.5折,517945,100%推荐,http://product.dangdang.com/29370653.html
10,小狗钱钱（附赠免费亲子财商课+理财秘籍思维导图）,博多・舍费尔,中信出版社,2021-01-20,22.4,39.8,5.6折,453604,100%推荐,http://product.dangdang.com/29177871.html
11,经典常谈  八年级下 下册推荐书目   人民教育出版社 朱自清  初中语文配套名著课程化阅读丛书,,人民教育出版社,,20.1,26.8,7.5折,1399,99.9%推荐,http://product.dangdang.com/29966103.html
12,人人都应该知道的中国规矩（插图版）,齐晓晶，任娟娟,人民邮电出版社,2025-01-01,25.9,39.8,6.5折,39906,100%推荐,http://product.dangdang.com/29840529.html
13,波西和皮普7册经典套装(小小聪明豆系列绘本)0-4岁低幼启蒙情绪管理习惯养成绘本，引导宝宝认识接纳情绪培养好品质，发现快乐，体验成长！,（德）阿克塞尔・舍夫勒著/绘,外语教学与研究出版社,2015-08-17,73.0,73.0,10.0折,517884,100%推荐,http://product.dangdang.com/23769597.html
14,本草纲目节气养生年历 蔡志忠本草纲目 顺应节气学养生 养出健康好体质  蔡志忠手绘 顺时养生人士收藏,蔡志忠;读客文化 出品,天津科学技术出版社,2025-09-30,39.9,69.9,5.7折,452,100%推荐,http://product.dangdang.com/29954969.html
15,漫画讲透黄帝内经 十二时辰养生智慧 二十四节气养生智慧 中医八大名著之一养生图解 皇帝内经漫画版原版,张嘉铭，王婧,化学工业出版社,2024-02-01,13.9,58.0,2.4折,280714,100%推荐,http://product.dangdang.com/29702099.html
16,岩中花述 全四册 陈鲁豫新书作品当当专享印签版当当自营,陈鲁豫,湖南文艺出版社,2025-10-01,148.0,228.0,6.5折,51402,100%推荐,http://product.dangdang.com/29958646.html
17,一句顶一万句 刘震云作品 印签版 茅盾文学奖 专享印签本当当自营孟非,刘震云，长江新世纪 出品,广东花城出版社,2022-08-01,64.6,68.0,9.5折,822731,99.9%推荐,http://product.dangdang.com/29437347.html
18,窄门（典藏插图版）诺贝尔文学奖得主纪德巅峰之作！傅雷翻译奖得主李玉民的法语直译本。余华读到浑身发抖，想要写出来的小说！,[法]安德烈・纪德 著 李玉民 译，紫图图书 出品,四川人民出版社,2025-02-01,44.0,55.0,8.0折,78736,100%推荐,http://product.dangdang.com/29845066.html
19,不要担心2小时和8公里以外的事情（一本鼓励你用“微小的锚点”稳住“巨大的不确定”的心理指南！）,李松涛 著；书田文化 出品,北京联合出版有限公司,2025-10-01,29.8,49.8,6.0折,12507,100%推荐,http://product.dangdang.com/29952480.html
