rank,title,director,actors,year,country,genre,rating,votes,quote,url
1,肖申克的救赎,弗兰克·德拉邦特,蒂姆·罗宾斯 摩根·弗里曼,1994,美国,剧情 犯罪,9.7,3266377,希望让人自由。,https://movie.douban.com/subject/1292052/
2,霸王别姬,陈凯歌,张国荣 张丰毅,1993,中国大陆 中国香港,剧情 爱情 同性,9.6,2409592,风华绝代。,https://movie.douban.com/subject/1291546/
3,泰坦尼克号,詹姆斯·卡梅隆,莱昂纳多·迪卡普里奥 凯特·温斯莱特,1997,美国,剧情 爱情 灾难,9.5,2483582,失去的才是永恒的。 ,https://movie.douban.com/subject/1292722/
4,阿甘正传,罗伯特·泽米吉斯,汤姆·汉克斯 罗宾·怀特,1994,美国,剧情 爱情,9.5,2417919,一部美国近现代史。,https://movie.douban.com/subject/1292720/
5,千与千寻,宫崎骏,柊瑠美 入野自由,2001,日本,剧情 动画 奇幻,9.4,2522114,最好的宫崎骏，最好的久石让。 ,https://movie.douban.com/subject/1291561/
6,美丽人生,罗伯托·贝尼尼,罗伯托·贝尼尼 尼可莱塔·布拉斯基,1997,意大利,剧情 喜剧 爱情 战争,9.5,1474429,最美的谎言。,https://movie.douban.com/subject/1292063/
7,星际穿越,克里斯托弗·诺兰,马修·麦康纳 安妮·海瑟薇,2014,美国 英国 加拿大,剧情 科幻 冒险,9.4,2164979,爱是一种力量，让我们超越时空感知它的存在。,https://movie.douban.com/subject/1889243/
8,这个杀手不太冷,吕克·贝松,让·雷诺 娜塔莉·波特曼,1994,法国 美国,剧情 动作 犯罪,9.4,2540707,怪蜀黍和小萝莉不得不说的故事。,https://movie.douban.com/subject/1295644/
9,盗梦空间,克里斯托弗·诺兰,莱昂纳多·迪卡普里奥 约瑟夫·高登-莱维特,2010,美国 英国,剧情 科幻 悬疑 冒险,9.4,2312710,诺兰给了我们一场无法盗取的梦。,https://movie.douban.com/subject/3541415/
10,楚门的世界,彼得·威尔,金·凯瑞 劳拉·琳妮,1998,美国,剧情 科幻,9.4,2004505,如果再也不能见到你，祝你早安，午安，晚安。,https://movie.douban.com/subject/1292064/
11,辛德勒的名单,史蒂文·斯皮尔伯格,连姆·尼森 本·金斯利,1993,美国,剧情 历史 战争,9.5,1241145,拯救一个人，就是拯救整个世界。,https://movie.douban.com/subject/1295124/
12,忠犬八公的故事,拉斯·霍尔斯道姆,理查·基尔 莎拉·罗默尔,2009,美国 英国,剧情,9.4,1535978,永远都不能忘记你所爱的人。,https://movie.douban.com/subject/3011091/
13,海上钢琴师,朱塞佩·托纳多雷,蒂姆·罗斯 普路特·泰勒·文斯,1998,意大利,剧情 音乐,9.3,1870063,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,https://movie.douban.com/subject/1292001/
14,疯狂动物城,拜伦·霍华德 瑞奇·摩尔 杰拉德·布什,金妮弗·古德温 杰森·贝特曼,2016,美国,喜剧 动画 冒险,9.3,2302942,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,https://movie.douban.com/subject/25662329/
15,三傻大闹宝莱坞,拉吉库马尔·希拉尼,阿米尔·汗 卡琳娜·卡普尔,2009,印度,剧情 喜剧 爱情 歌舞,9.2,2068208,英俊版憨豆，高情商版谢耳朵。,https://movie.douban.com/subject/3793023/
16,机器人总动员,安德鲁·斯坦顿,本·贝尔特 艾丽莎·奈特,2008,美国,科幻 动画 冒险,9.3,1482514,小瓦力，大人生。,https://movie.douban.com/subject/2131459/
17,放牛班的春天,克里斯托夫·巴哈蒂,让-巴蒂斯特·莫尼耶 热拉尔·朱尼奥,2004,法国 瑞士 德国,剧情 音乐,9.3,1465766,天籁一般的童声，是最接近上帝的存在。 ,https://movie.douban.com/subject/1291549/
18,无间道,刘伟强 麦兆辉,刘德华 梁朝伟,2002,中国香港,剧情 惊悚 犯罪,9.3,1555344,香港电影史上永不过时的杰作。,https://movie.douban.com/subject/1307914/
19,控方证人,比利·怀尔德,泰隆·鲍华 玛琳·黛德丽,1957,美国,剧情 悬疑 惊悚 犯罪,9.6,735258,比利·怀德满分作品。,https://movie.douban.com/subject/1296141/
20,寻梦环游记,李·昂克里奇 阿德里安·莫利纳,安东尼·冈萨雷斯 盖尔·加西亚·贝纳尔,2017,美国,喜剧 动画 音乐 奇幻,9.1,1972930,死亡不是真的逝去，遗忘才是永恒的消亡。,https://movie.douban.com/subject/20495023/
21,大话西游之大圣娶亲,刘镇伟,周星驰 吴孟达,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装,9.2,1701502,一生所爱。,https://movie.douban.com/subject/1292213/
22,熔炉,黄东赫,孔刘 郑裕美,2011,韩国,剧情,9.3,1031592,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,https://movie.douban.com/subject/5912992/
23,触不可及,奥利维埃·纳卡什 埃里克·托莱达诺,弗朗索瓦·克鲁塞 奥玛·希,2011,法国,剧情 喜剧,9.3,1287722,满满温情的高雅喜剧。,https://movie.douban.com/subject/6786002/
24,教父,弗朗西斯·福特·科波拉,马龙·白兰度 阿尔·帕西诺,1972,美国,剧情 犯罪,9.3,1100418,千万不要记恨你的对手，这样会让你失去理智。,https://movie.douban.com/subject/1291841/
